Target (hostname),Target (ipaddr),Target (ccTLD),Hop 0,Hop 1,Hop 2,Hop 3,Hop 4,Hop 5,Hop 6,Hop 7,Hop 8,Hop 9,Hop 10,Hop 11,Hop 12,Hop 13,Hop 14,Hop 15,Hop 16,Hop 17,Hop 18,Hop 19,Hop 20,Hop 21,Hop 22
www.itb.ac.id,167.205.1.34,id,0,9617,824,2516,4761,2516,4761,4796,,,,,,,,,,,,,,,
www.ait.ac.th,203.159.12.4,th,0,9617,9824,2497,3661,4651,0,,,,,,,,,,,,,,,,
www.google.com,173.194.120.84,,0,9617,9824,2516,9824,15169,,,,,,,,,,,,,,,,,
www.yahoo.co.id,106.10.212.150,id,0,9617,9824,2516,9824,17819,46841,6939,10026,10310,45294,56173,,,,,,,,,,,
www.mohe.gov.af,138.128.165.250,Af,1234,2909,3356,3356,3356,33182,33182,6,,,,,,,,,,,,,,,
www.ethionet.et,213.55.96.140,ET,2907,2907,2907,701,,174,,,,,,,,,,,,,24757,,,,
andc.gov.af,103.23.247.25,Af,5622,,0,9617,9824,9824,9824,2516,2516,2516,6762,6762,6762,0,55330,55330,55330,,,,,,
www.bunda.luanar.mw,154.66.120.104,mw,56220,0,4725,19710,12491,,,,,,,,,,,,,,,,,,
www.jornaldomingo.co.mz,197.249.4.160,mz,56220,9617,9824,2497,37100,25139,25139,,,,,,,,,,,,,,,,
www.zantel.co.tz,41.204.128.15,TZ,2518,6453,7633,6453,36930,,,,,,,,,,,,,,,,,,
www.moe.gov.et,213.55.102.189,ET,2907,2907,2907,701,2914,2914,2914,2914,2914,2914,2914,2914,2914,2914,33788,,,,,,,,
http://muda.gov.af,103.23.247.13,AF,2907,701,0,6762,55330,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0
www.baidu.com,103.235.46.39,,0,1234,2907,2907,7521,4713,4713,4713,2914,2914,2914,2914,2914,9293,55967,,,,,,,,
mcit.gov.af,103.23.247.25,Af,1234,2907,2907,2907,0,6762,6762,6762,6762,6762,55330,55330,55330,,,,,,,,,,
www.mom.gov.af,103.23.247.13,AF,0,AS9617,9617,9824,9824,9824,2516,2516,6762,6762,,,,,,,,,,,,,
president.gov.af,103.23.247.25,AF,1234,2907,4725,4725,6453,3216,8449,3216,55330,,,,,,,,,,,,,,
www.mineduc.gov.rw,197.243.16.104,rw,1234,2907,4725,6453,37619,,,,,,,,,,,,,,,,,,
www.tdm.mz,196.28.224.21,mz,9617,9824,2497,9498,37662,30619,,,,,,,,,,,,,,,,,
www.airtanzania.com,50.22.206.234,TZ,36381,2907,7521,,,,,,,,,,,,,,,,,,,,
www.mti.gov.eg,213.131.64.75,eg,36351,3356,6453,,,,,,,,,,,,,,,,,,,,
www.mf.gov.mz,41.220.166.34,mz,1234,2907,4725,6453,37662,30619,,,,,,,,,,,,,,,,,
www.masa.gov.mz,196.3.96.205,mz,1234,65190,2907,4725,6453,371000,25139,,,,,,,,,,,,,,,,
www.kilimo.go.ke,41.204.167.87,ke,1234,2907,2907,2907,2907,2907,20965,20965,20965,2018,2018,2018,36914/9498,36914/22351,,,,,,,,,
www.udom.ac.tz,41.78.64.5,TZ,9605,2497,36930,,,,,,,,,,,,,,,,,,,,
www.ajira.go.tz,216.198.219.50,TZ,9605,2497,3356,7393,,,,,,,,,,,,,,,,,,,
http://www.mombasatti.ac.ke/,195.202.64.253,ke,9617,9824,2497,5459,37100,9129,37044,,,,,,,,,,,,,,,,
www.mae.gov.mz,41.220.166.95,mz,30619,56220,9617,9824,2497,3356,9057,37662,9498,,,,,,,,,,,,,,
www.hopr.gov.et,213.55.90.27,ET,2907,701,174,174,174,174,30990,,,,,,,,,,,,,,,,
www.irdp.ac.tz,172.20.10.1,TZ,2497,3257,11798,46606,,,,,,,,,,,,,,,,,,,
www.natbank.co.mw,196.216.9.157,mw,4725,6453,37100,36913,,,,,,,,,,,,,,,,,,,
www.ethiopia.gov.et,213.55.98.19,et,1234,2907,2907,2907,174,30990,"
","
","
","
","
",,"
","
","
","
","
","
",,,,,
www.cobeso.or.tz,50.22.206.234,TZ,2907,36351,11172,,,,,,,,,,,,,,,,,,,,
www.reb.rw,197.243.16.111,rw,2907,4725,AS6453,AS37228,,,,,,,,,,,,,,,,,,,
www.seamic.org,206.188.192.16,Tz,3404,1234,2907,4725,6453,,,,,,,,,,,,,,,,,,
www.energy.gov.ng,66.96.147.120,ng,0,2907,701,,,,,,,,,,,,,,,,,,,,
www.udsm.ac.tz,172.20.15.81,TZ,2497,37100,,,,,,,,,,,,,,,,,,,,,
www.ppu.gov.af,180.94.64.35,AF,0,0,0,0,0,0,AS2516,AS2516,AS2516,AS2516,AS6762,AS6762,AS6762,0,AS6762,AS55330,AS55330,,,,,,
www.sdnp.org.mw,41.221.99.136,mw,4725,3491,9498,37662,30619,36969,,,,,,,,,,,,,,,,,
